,College,"1.1 Teaching in large class environments Competence[Novice,Advanced]","1.2 Facilitating learning through group work Competence[Novice,Advanced]","1.3 Using effective classroom management techniques with Canvas or other tools Competence[Novice,Advanced]","1.4 Using Canvas for course design Competence[Novice,Advanced]","1.5 Aligning course goals, objectives, assessments, and content Competence[Novice,Advanced]","1.6 Using open educational resources Competence[Novice,Advanced]","1.7 Using inclusive multimedia* to enhance courses Competence[Novice,Advanced]","1.8 Creating videos for instructional purposes Competence[Novice,Advanced]","1.9 Having students create and share multimedia projects Competence[Novice,Advanced]","1.10 Teaching distracted students Competence[Novice,Advanced]","1.11 Developing professional development courses Competence[Novice,Advanced]","1.12 Using experiential learning* strategies Competence[Novice,Advanced]","1.13 Choosing the right strategy and tool for course content Competence[Novice,Advanced]",2.1 Designing learning activities for Hybrid/blended* environments.,"2.2 Teaching in Hybrid/blended* environments. Competence[Novice,Advanced]","2.3 Designing learning objects for Asynchronous online* environments. Competence[Novice,Advanced]","2.4 Teaching in Asynchronous online*environments. Competence[Novice,Advanced]","2.5 Designing learning activities for Synchronous online* environments. Competence[Novice,Advanced]","2.6 Teaching in Synchronous online* environments. Competence[Novice,Advanced]","2.7Designing learning activities for Bichronous online* environments. Competence[Novice,Advanced]","2.8 Teaching in Bichronous Online* environments. Competence[Novice,Advanced]",3.1 Managing time effectively,"3.2 Using project management* Skills Competence [Novice,Advanced]","3.3 Using good communication skills Competence [Novice,Advanced]","3.4 Dealing with conflict and team dynamics Competence [Novice,Advanced]","3.5 Using Google Apps* for project management Competence [Novice,Advanced]","3.6 Using Google apps for collaboration Competence [Novice,Advanced]","3.7 Using Microsoft Teams for project management Competence [Novice,Advanced]","3.8 Using Office365 for collaboration Competence [Novice,Advanced]","3.9 Using Adobe software for visual design projects (e.g. Photoshop, AfterEffect and Illustrator etc.) Competence [Novice,Advanced]","3.10 Using Office365 for document, spreadsheet, and/or presentation creation Competence [Novice,Advanced]","3.11 Choosing the right technology for the job required Competence [Novice,Advanced]","3.12 Reporting productivity using VTelements* (for EFARS) Competence [Novice,Advanced]","3.13 Using web content management tools (e.g. Ensemble etc.) Competence [Novice,Advanced]","3.14 Improving cyber security Competence [Novice,Advanced]",4.1 Developing surveys or instruments for research,4.2  Using quantitative tools for research,"4.3 Using qualitative data for research Competence [Novice,Advanced]","4.4 Using mixed methods for research Competence [Novice,Advanced]","4.5 Navigating the publication process Competence [Novice,Advanced]","4.6 Data visualization Competence [Novice,Advanced]","4.7 Using a citation manager Competence [Novice,Advanced]","4.8 Using scholarly databases and journals Competence [Novice,Advanced]","4.9 Finding and using existing data Competence [Novice,Advanced]","4.10 Managing and sharing data Competence [Novice,Advanced]","4.11 Working with large scale data Competence [Novice,Advanced]","4.12 Understanding ethics in research Competence [Novice,Advanced]","4.13 Conducting structured reviews, literary reviews and evidence synthesis Competence [Novice,Advanced]","4.14 Understanding the grant process Competence [Novice,Advanced]","4.15 Building scholarship of teaching and learning Competence [Novice,Advanced]",5.1 Developing assessments aligned with instructional goals and objectives,5.2 Using authentic assessments*,"5.3 Using technology to design, deliver, and grade assessments Competence[Novice,Advanced]","5.4 Using Canvas: for tests and quizzes Competence[Novice,Advanced]","5.5 Using questions and strategies for increasing student feedback and using it Competence[Novice,Advanced]","5.6 Assessing your course for quality Competence[Novice,Advanced]","5.7 Applying UDL principles for flexible assessment Competence[Novice,Advanced]","5.8 Using peer assessment and feedback Competence[Novice,Advanced]","5.9Integrating pathways assessment* strategies Competence[Novice,Advanced]","5.10 Finding ways to expand assessment options Competence[Novice,Advanced]",6.1 Using/showcasing accessible technologies to increase student awareness and success,"6.2 Making course materials accessible for all students (Universal Design for Learning*, Ally* within Canvas, etc.)",6.3 Cultivating belonging with students,"6.4 Helping students become self-regulated learners Competence[Novice,Advanced]","6.5 Creating a welcoming and affirming environment Competence[Novice,Advanced]","6.6 Understanding and using inclusive pedagogy* Competence[Novice,Advanced]","6.7 Leveraging UDL to make learning welcoming, accessible, and meaningful for all students Competence[Novice,Advanced]","6.8 Creating meaningful metrics for inclusion and diversity Competence[Novice,Advanced]","6.9 Using PREP* or Adobe Acrobat to design accessible educational materials Competence[Novice,Advanced]","6.10 Increasing cultural competencies Competence[Novice,Advanced]","7.1 Engaging with neurodiverse audiences (autism, ADHD, and others)",7.2 Connecting Schools and Museums,7.3 Communicating research with a non-academic audience,7.4 Using culturally-relevant/sensitive engagement with the public,7.5 Assessing & evaluating the impact of outreach and engagement
College of Agriculture and Life Sciences,,26.923076923076923,7.6923076923076925,5.769230769230769,3.8461538461538463,30.76923076923077,7.6923076923076925,11.538461538461538,26.923076923076923,9.615384615384617,26.923076923076923,7.6923076923076925,5.769230769230769,0.0,5.769230769230769,25.0,19.230769230769234,26.923076923076923,15.384615384615385,36.53846153846153,11.538461538461538,0.0,48.07692307692308,0.0,9.615384615384617,34.61538461538461,11.538461538461538,36.53846153846153,17.307692307692307,13.461538461538462,11.538461538461538,5.769230769230769,25.0,26.923076923076923,5.769230769230769,0.0,29.411764705882355,17.647058823529413,13.725490196078432,5.88235294117647,7.8431372549019605,7.8431372549019605,3.9215686274509802,13.725490196078432,5.88235294117647,29.411764705882355,3.9215686274509802,15.686274509803921,9.803921568627452,5.88235294117647,0.0,43.13725490196079,52.94117647058824,5.88235294117647,3.9215686274509802,5.88235294117647,21.568627450980394,9.803921568627452,27.450980392156865,5.88235294117647,0.0,54.90196078431373,60.78431372549019,5.88235294117647,0.0,9.803921568627452,9.803921568627452,9.803921568627452,11.76470588235294,3.9215686274509802,0.0,54.90196078431373,35.294117647058826,27.450980392156865,47.05882352941176,47.05882352941176
College of Architecture Arts and Design,,22.22222222222222,28.888888888888886,15.555555555555555,13.333333333333334,42.22222222222222,15.555555555555555,13.333333333333334,22.22222222222222,17.77777777777778,44.44444444444444,6.666666666666667,13.333333333333334,0.0,6.666666666666667,37.77777777777778,20.0,20.0,15.555555555555555,40.0,11.11111111111111,0.0,40.476190476190474,2.380952380952381,16.666666666666664,28.57142857142857,11.904761904761903,52.38095238095239,19.047619047619047,7.142857142857142,40.476190476190474,7.142857142857142,45.23809523809524,30.952380952380953,0.0,0.0,21.951219512195124,9.75609756097561,14.634146341463413,12.195121951219512,21.951219512195124,26.82926829268293,2.4390243902439024,24.390243902439025,12.195121951219512,26.82926829268293,2.4390243902439024,43.90243902439025,2.4390243902439024,7.317073170731707,0.0,20.0,20.0,25.0,12.5,10.0,37.5,5.0,32.5,15.0,0.0,50.0,57.49999999999999,2.5,0.0,7.5,15.0,5.0,22.5,0.0,0.0,50.0,32.5,32.5,27.500000000000004,47.5
College of Business,,9.375,15.625,15.625,6.25,56.25,15.625,28.125,40.625,12.5,46.875,6.25,6.25,0.0,9.67741935483871,51.61290322580645,48.38709677419355,41.935483870967744,38.70967741935484,64.51612903225806,25.806451612903224,0.0,43.333333333333336,3.3333333333333335,20.0,40.0,23.333333333333332,33.33333333333333,26.666666666666668,36.666666666666664,13.333333333333334,20.0,50.0,33.33333333333333,10.0,0.0,26.666666666666668,16.666666666666664,10.0,10.0,6.666666666666667,30.0,10.0,10.0,16.666666666666664,23.333333333333332,13.333333333333334,20.0,50.0,6.666666666666667,0.0,40.0,50.0,10.0,23.333333333333332,3.3333333333333335,13.333333333333334,16.666666666666664,30.0,10.0,0.0,44.827586206896555,44.827586206896555,6.896551724137931,3.4482758620689653,10.344827586206897,13.793103448275861,17.24137931034483,24.137931034482758,13.793103448275861,0.0,41.37931034482759,17.24137931034483,31.03448275862069,34.48275862068966,31.03448275862069
College of Engineering,,28.08988764044944,7.865168539325842,16.853932584269664,6.741573033707865,43.82022471910113,17.97752808988764,10.112359550561797,38.20224719101123,13.48314606741573,41.57303370786517,5.617977528089887,16.853932584269664,0.0,4.651162790697675,41.86046511627907,25.581395348837212,22.093023255813954,24.418604651162788,50.0,12.790697674418606,0.0,36.04651162790697,1.1627906976744187,22.093023255813954,36.04651162790697,15.11627906976744,36.04651162790697,10.465116279069768,24.418604651162788,5.813953488372093,16.27906976744186,30.23255813953488,23.25581395348837,3.488372093023256,0.0,22.35294117647059,29.411764705882355,12.941176470588237,3.5294117647058822,11.76470588235294,23.52941176470588,5.88235294117647,18.823529411764707,9.411764705882353,15.294117647058824,5.88235294117647,23.52941176470588,3.5294117647058822,21.176470588235293,0.0,29.761904761904763,35.714285714285715,17.857142857142858,10.714285714285714,3.571428571428571,36.904761904761905,9.523809523809524,33.33333333333333,9.523809523809524,0.0,48.78048780487805,56.09756097560976,7.317073170731707,1.2195121951219512,19.51219512195122,14.634146341463413,7.317073170731707,23.170731707317074,6.097560975609756,0.0,53.65853658536586,23.170731707317074,31.70731707317073,36.58536585365854,41.46341463414634
College of Liberal Arts and Human Sciences,,11.627906976744185,13.953488372093023,12.790697674418606,8.13953488372093,48.837209302325576,8.13953488372093,32.55813953488372,23.25581395348837,6.976744186046512,45.348837209302324,6.976744186046512,4.651162790697675,0.0,4.705882352941177,35.294117647058826,24.705882352941178,34.11764705882353,24.705882352941178,47.05882352941176,12.941176470588237,0.0,45.78313253012048,2.4096385542168677,22.89156626506024,33.734939759036145,12.048192771084338,49.39759036144578,8.433734939759036,15.66265060240964,10.843373493975903,7.228915662650602,30.120481927710845,30.120481927710845,3.614457831325301,0.0,20.481927710843372,3.614457831325301,19.27710843373494,15.66265060240964,32.53012048192771,7.228915662650602,6.024096385542169,22.89156626506024,26.506024096385545,27.710843373493976,2.4096385542168677,21.686746987951807,16.867469879518072,15.66265060240964,0.0,24.096385542168676,28.915662650602407,24.096385542168676,13.253012048192772,9.63855421686747,27.710843373493976,13.253012048192772,27.710843373493976,20.481927710843372,0.0,43.20987654320987,55.55555555555556,1.2345679012345678,2.4691358024691357,2.4691358024691357,16.049382716049383,9.876543209876543,27.160493827160494,2.4691358024691357,0.0,49.382716049382715,23.456790123456788,22.22222222222222,39.50617283950617,39.50617283950617
College of Natural Resources and Environment,,13.043478260869565,17.391304347826086,17.391304347826086,4.3478260869565215,39.130434782608695,8.695652173913043,13.043478260869565,13.043478260869565,0.0,39.130434782608695,4.3478260869565215,21.73913043478261,0.0,0.0,31.818181818181817,18.181818181818183,13.636363636363635,22.727272727272727,31.818181818181817,9.090909090909092,0.0,42.857142857142854,0.0,14.285714285714285,38.095238095238095,14.285714285714285,42.857142857142854,9.523809523809524,0.0,4.761904761904762,19.047619047619047,9.523809523809524,33.33333333333333,4.761904761904762,0.0,28.57142857142857,23.809523809523807,4.761904761904762,4.761904761904762,0.0,28.57142857142857,4.761904761904762,19.047619047619047,9.523809523809524,19.047619047619047,0.0,28.57142857142857,4.761904761904762,9.523809523809524,0.0,38.095238095238095,42.857142857142854,14.285714285714285,9.523809523809524,0.0,9.523809523809524,0.0,14.285714285714285,4.761904761904762,0.0,42.857142857142854,66.66666666666666,9.523809523809524,0.0,14.285714285714285,33.33333333333333,0.0,19.047619047619047,4.761904761904762,0.0,66.66666666666666,14.285714285714285,19.047619047619047,38.095238095238095,47.61904761904761
College of Science,,13.20754716981132,16.9811320754717,28.30188679245283,7.547169811320755,43.39622641509434,20.754716981132077,15.09433962264151,41.509433962264154,11.320754716981133,39.62264150943396,5.660377358490567,9.433962264150944,0.0,3.8461538461538463,28.846153846153843,36.53846153846153,28.846153846153843,26.923076923076923,46.15384615384615,17.307692307692307,0.0,35.294117647058826,0.0,27.450980392156865,37.254901960784316,17.647058823529413,43.13725490196079,15.686274509803921,17.647058823529413,11.76470588235294,17.647058823529413,50.98039215686274,17.647058823529413,9.803921568627452,0.0,23.52941176470588,31.372549019607842,15.686274509803921,9.803921568627452,11.76470588235294,25.49019607843137,0.0,21.568627450980394,13.725490196078432,23.52941176470588,0.0,37.254901960784316,5.88235294117647,27.450980392156865,0.0,32.0,38.0,26.0,20.0,6.0,32.0,8.0,22.0,4.0,0.0,60.0,60.0,6.0,0.0,16.0,18.0,2.0,14.000000000000002,4.0,0.0,52.0,32.0,18.0,44.0,52.0
College of Veterinary Medicine,,13.333333333333334,16.666666666666664,13.333333333333334,3.3333333333333335,16.666666666666664,6.666666666666667,16.666666666666664,33.33333333333333,6.666666666666667,20.0,6.666666666666667,10.0,0.0,6.666666666666667,30.0,20.0,13.333333333333334,20.0,36.666666666666664,16.666666666666664,0.0,33.33333333333333,3.3333333333333335,13.333333333333334,43.333333333333336,26.666666666666668,50.0,13.333333333333334,16.666666666666664,26.666666666666668,6.666666666666667,26.666666666666668,26.666666666666668,3.3333333333333335,0.0,46.666666666666664,33.33333333333333,10.0,6.666666666666667,6.666666666666667,6.666666666666667,3.3333333333333335,6.666666666666667,3.3333333333333335,26.666666666666668,3.3333333333333335,13.333333333333334,6.666666666666667,23.333333333333332,0.0,33.33333333333333,43.333333333333336,10.0,16.666666666666664,3.3333333333333335,16.666666666666664,3.3333333333333335,36.666666666666664,3.3333333333333335,0.0,68.96551724137932,75.86206896551724,3.4482758620689653,3.4482758620689653,6.896551724137931,17.24137931034483,10.344827586206897,34.48275862068966,3.4482758620689653,0.0,55.172413793103445,24.137931034482758,44.827586206896555,41.37931034482759,65.51724137931035
Graduate School,,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,50.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0
Honors College,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
Library,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
